xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000475600,-89.15701,16.283392,19,1,1,19,1,1,2000,2018,Belice,90.03463702438705,90.03463702438705,90.03463702438705,multitemporal_xy
XY_000000475628,-89.15691099999998,16.274358,19,1,1,19,1,1,2000,2018,Belice,89.14449101581681,89.14449101581681,89.14449101581681,multitemporal_xy
XY_000000475711,-89.15671399999998,16.256291,19,1,1,19,1,1,2000,2018,Belice,80.77526246660995,80.77526246660995,80.77526246660995,multitemporal_xy
XY_000000475739,-89.156615,16.247257,19,1,1,19,1,1,2000,2018,Belice,96.09688732686399,96.09688732686399,96.09688732686399,multitemporal_xy
XY_000000475776,-89.15651699999998,16.238223,19,1,1,19,1,1,2000,2018,Belice,83.39017849017435,83.39017849017435,83.39017849017435,multitemporal_xy
XY_000000475843,-89.15631999999998,16.220156,19,1,1,19,1,1,2000,2018,Belice,61.678208376003866,61.678208376003866,61.678208376003866,multitemporal_xy
XY_000000475877,-89.156222,16.211122,19,1,1,19,1,1,2000,2018,Belice,55.370513452575075,55.370513452575075,55.370513452575075,multitemporal_xy
XY_000000475909,-89.156124,16.202088,19,1,1,19,1,1,2000,2018,Belice,88.54542439689756,88.54542439689756,88.54542439689756,multitemporal_xy
XY_000000475976,-89.155927,16.18402,19,1,1,19,1,1,2000,2018,Belice,83.77482151200097,83.77482151200097,83.77482151200097,multitemporal_xy
XY_000000476012,-89.15582899999998,16.174987,19,1,1,19,1,1,2000,2018,Belice,86.80749927352345,86.80749927352345,86.80749927352345,multitemporal_xy
XY_000000476130,-89.155535,16.147885,19,1,1,19,1,1,2000,2018,Belice,85.921404197871,85.921404197871,85.921404197871,multitemporal_xy
XY_000000476159,-89.155438,16.138851,19,1,1,19,1,1,2000,2018,Belice,72.85203612352173,72.85203612352173,72.85203612352173,multitemporal_xy
XY_000000476198,-89.15533999999998,16.129817,19,1,1,19,1,1,2000,2018,Belice,57.33037094618343,57.33037094618343,57.33037094618343,multitemporal_xy
XY_000000476209,-89.15531199999998,16.970031,19,1,1,19,1,1,2000,2018,Belice,95.10947863760464,95.10947863760464,95.10947863760464,multitemporal_xy
XY_000000476239,-89.155242,16.120784,19,1,1,19,1,1,2000,2018,Belice,95.16548846216848,95.16548846216848,95.16548846216848,multitemporal_xy
XY_000000476251,-89.155209,16.960998,19,1,1,19,1,1,2000,2018,Belice,91.84044204321131,91.84044204321131,91.84044204321131,multitemporal_xy
XY_000000476268,-89.155145,16.11175,19,1,1,19,1,1,2000,2018,Belice,87.1354607970882,87.1354607970882,87.1354607970882,multitemporal_xy
XY_000000476307,-89.15504699999998,16.102716,19,1,1,19,1,1,2000,2018,Belice,88.98141971202432,88.98141971202432,88.98141971202432,multitemporal_xy
XY_000000476323,-89.15500299999998,16.942931,19,1,1,19,1,1,2000,2018,Belice,61.85103566524154,61.85103566524155,61.85103566524155,multitemporal_xy
XY_000000476334,-89.154949,16.093682,19,1,1,19,1,1,2000,2018,Belice,85.70377334550983,85.70377334550983,85.70377334550983,multitemporal_xy
XY_000000476350,-89.1549,16.933898,19,1,1,19,1,1,2000,2018,Belice,85.71528201774501,85.71528201774501,85.71528201774501,multitemporal_xy
XY_000000476366,-89.154852,16.084648,19,1,1,19,1,1,2000,2018,Belice,89.42152536264209,89.42152536264209,89.42152536264209,multitemporal_xy
XY_000000476389,-89.154797,16.924865,19,1,1,19,1,1,2000,2018,Belice,90.98834792387223,90.98834792387223,90.98834792387223,multitemporal_xy
XY_000000476406,-89.15475499999998,16.075614,19,1,1,19,1,1,2000,2018,Belice,53.12998235308733,53.12998235308733,53.12998235308733,multitemporal_xy
XY_000000476419,-89.154694,16.915832,19,1,1,19,1,1,2000,2018,Belice,57.79617734449142,57.79617734449141,57.79617734449141,multitemporal_xy
XY_000000476435,-89.154657,16.06658,19,1,1,19,1,1,2000,2018,Belice,91.85679981115057,91.85679981115057,91.85679981115057,multitemporal_xy
XY_000000476471,-89.15456,16.057546,19,1,1,19,1,1,2000,2018,Belice,94.57470472679339,94.57470472679339,94.57470472679339,multitemporal_xy
XY_000000476495,-89.154489,16.897765,19,1,1,19,1,1,2000,2018,Belice,86.98720553842034,86.98720553842034,86.98720553842034,multitemporal_xy
XY_000000476506,-89.154463,16.048512,19,1,1,19,1,1,2000,2018,Belice,64.75167558049861,64.75167558049861,64.75167558049861,multitemporal_xy
XY_000000476533,-89.154386,16.888732,19,1,1,19,1,1,2000,2018,Belice,87.11227436376717,87.11227436376717,87.11227436376717,multitemporal_xy
XY_000000476539,-89.15436599999998,16.039478,19,1,1,19,1,1,2000,2018,Belice,95.52266033700039,95.52266033700039,95.52266033700039,multitemporal_xy
XY_000000476566,-89.154284,16.879699,19,1,1,19,1,1,2000,2018,Belice,86.7937200567988,86.7937200567988,86.7937200567988,multitemporal_xy
XY_000000476603,-89.15418099999998,16.870666,19,1,1,19,1,1,2000,2018,Belice,86.79150713983711,86.79150713983711,86.79150713983711,multitemporal_xy
XY_000000476604,-89.154172,16.02141,19,1,1,19,1,1,2000,2018,Belice,91.93627595104506,91.93627595104506,91.93627595104506,multitemporal_xy
XY_000000476637,-89.15407899999998,16.861632,19,1,1,19,1,1,2000,2018,Belice,89.0485761451692,89.0485761451692,89.0485761451692,multitemporal_xy
XY_000000476671,-89.15397799999998,16.003342,19,1,1,19,1,1,2000,2018,Belice,92.19401593237686,92.19401593237686,92.19401593237686,multitemporal_xy
XY_000000476672,-89.153977,16.852599,19,1,1,19,1,1,2000,2018,Belice,93.80347158341256,93.80347158341256,93.80347158341256,multitemporal_xy
XY_000000476700,-89.153881,15.994308,19,1,1,19,1,1,2000,2018,Belice,92.49623429915727,92.49623429915727,92.49623429915727,multitemporal_xy
XY_000000476706,-89.153874,16.843566,19,1,1,19,1,1,2000,2018,Belice,60.74942644411971,60.74942644411972,60.74942644411972,multitemporal_xy
XY_000000476735,-89.153772,16.834533,19,1,1,19,1,1,2000,2018,Belice,86.19083152608933,86.19083152608933,86.19083152608933,multitemporal_xy
XY_000000476750,-89.153688,15.97624,19,1,1,19,1,1,2000,2018,Belice,90.39813505287374,90.39813505287374,90.39813505287374,multitemporal_xy
