subset,nivel,fuente,clase,n_registros,pct_fuente_subset
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,12 Otras tierras,40,0.043178
ventana_2018_2022,Nivel_1,FOREST DEPARTMENT - Cultivos - Mapa Belize,31 Cultivos intensivos No-Arbóreos,11585,100.0
ventana_2018_2022,Nivel_1,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,32 Cultivos Arbóreos,15575,100.0
ventana_2018_2022,Nivel_1,ICF - Cultivos - Mapa Honduras,32 Cultivos Arbóreos,65998,62.018869
ventana_2018_2022,Nivel_1,ICF - Cultivos - Mapa Honduras,31 Cultivos intensivos No-Arbóreos,40418,37.981131
ventana_2018_2022,Nivel_1,MAGA - Cultivos - Mapa Guatemala,32 Cultivos Arbóreos,109031,52.684706
ventana_2018_2022,Nivel_1,MAGA - Cultivos - Mapa Guatemala,31 Cultivos intensivos No-Arbóreos,97919,47.315294
ventana_2018_2022,Nivel_1,MARN-MAG/FCPF - Inventario Forestal El Salvador,41 Bosque latifoliado y mixto,146,45.91195
ventana_2018_2022,Nivel_1,MARN-MAG/FCPF - Inventario Forestal El Salvador,42 Bosque de coníferas,80,25.157233
ventana_2018_2022,Nivel_1,MARN-MAG/FCPF - Inventario Forestal El Salvador,43 Manglares,52,16.352201
ventana_2018_2022,Nivel_1,MARN-MAG/FCPF - Inventario Forestal El Salvador,32 Cultivos Arbóreos,40,12.578616
ventana_2018_2022,Nivel_1,MIAMBIENTE - Cultivos Mapa Panamá,31 Cultivos intensivos No-Arbóreos,24475,100.0
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,41 Bosque latifoliado y mixto,2720,57.675997
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,"33 Cultivos extensivos, Pastizales y matorrales",1561,33.100085
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,43 Manglares,109,2.311281
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,11 Urbano,93,1.97201
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,21 Cuerpos de Agua,78,1.653944
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,44 Otros arbóreo en tierras no agrícola,63,1.335878
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,31 Cultivos intensivos No-Arbóreos,48,1.017812
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,22 Humedales,16,0.339271
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,32 Cultivos Arbóreos,14,0.296862
ventana_2018_2022,Nivel_1,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,12 Otras tierras,14,0.296862
ventana_2018_2022,Nivel_1,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",41 Bosque latifoliado y mixto,57966,58.080418
ventana_2018_2022,Nivel_1,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","33 Cultivos extensivos, Pastizales y matorrales",31310,31.371802
ventana_2018_2022,Nivel_1,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",91 Otras,5753,5.764356
ventana_2018_2022,Nivel_1,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",22 Humedales,3890,3.897678
ventana_2018_2022,Nivel_1,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",44 Otros arbóreo en tierras no agrícola,884,0.885745
