row_hash,n,tipo_revision
14245341032119482873,2,hash_atributos_sin_geometria
2981078160050503541,2,hash_atributos_sin_geometria
3176676662787494346,2,hash_atributos_sin_geometria
12535460392477429942,2,hash_atributos_sin_geometria
2725611843307807033,2,hash_atributos_sin_geometria
7219948049672998000,2,hash_atributos_sin_geometria
8960153180783787655,2,hash_atributos_sin_geometria
16488739151588397258,2,hash_atributos_sin_geometria
8175057196915586015,2,hash_atributos_sin_geometria
16814766723819520037,2,hash_atributos_sin_geometria
9010717264500507722,2,hash_atributos_sin_geometria
2224079346856210458,2,hash_atributos_sin_geometria
11205916498614955809,2,hash_atributos_sin_geometria
13943189155124680239,2,hash_atributos_sin_geometria
10884212280612109792,2,hash_atributos_sin_geometria
8434964566103961611,2,hash_atributos_sin_geometria
13131119181731359809,2,hash_atributos_sin_geometria
10903681795584288569,2,hash_atributos_sin_geometria
3080165294356681351,2,hash_atributos_sin_geometria
17654962098453846482,2,hash_atributos_sin_geometria
11958928353170350859,2,hash_atributos_sin_geometria
797047639631644715,2,hash_atributos_sin_geometria
5337799253591827988,2,hash_atributos_sin_geometria
9727293197204971258,2,hash_atributos_sin_geometria
8756749509389182686,2,hash_atributos_sin_geometria
10143985278188169276,2,hash_atributos_sin_geometria
8263275855735948231,2,hash_atributos_sin_geometria
11698636339932439445,2,hash_atributos_sin_geometria
5209629543545208758,2,hash_atributos_sin_geometria
4164085440554245052,2,hash_atributos_sin_geometria
11844224738319327830,2,hash_atributos_sin_geometria
7938441065380634246,2,hash_atributos_sin_geometria
11733903792194976117,2,hash_atributos_sin_geometria
7258532589705294483,2,hash_atributos_sin_geometria
16358336723693627444,2,hash_atributos_sin_geometria
14520814057831767835,2,hash_atributos_sin_geometria
17084112140999306667,2,hash_atributos_sin_geometria
1946840145097201857,2,hash_atributos_sin_geometria
16290628960573409907,2,hash_atributos_sin_geometria
14290482183083068835,2,hash_atributos_sin_geometria
3379469103361931368,2,hash_atributos_sin_geometria
9491864213082763908,2,hash_atributos_sin_geometria
14261345554824997797,2,hash_atributos_sin_geometria
76216164053470704,2,hash_atributos_sin_geometria
9695283170827243298,2,hash_atributos_sin_geometria
1378864487848373631,2,hash_atributos_sin_geometria
18315699701804467773,2,hash_atributos_sin_geometria
12824244529112267086,2,hash_atributos_sin_geometria
6179679953091803002,2,hash_atributos_sin_geometria
9548154598500976442,2,hash_atributos_sin_geometria
1948430116289832793,2,hash_atributos_sin_geometria
14813474136056842153,2,hash_atributos_sin_geometria
10816160115666171352,2,hash_atributos_sin_geometria
12790849124741866419,2,hash_atributos_sin_geometria
15917530731177126663,2,hash_atributos_sin_geometria
13799749063831379603,2,hash_atributos_sin_geometria
3282310678150014701,2,hash_atributos_sin_geometria
16256195899027635896,2,hash_atributos_sin_geometria
11607921073047209575,2,hash_atributos_sin_geometria
14021347498714081430,2,hash_atributos_sin_geometria
2659170373956059732,2,hash_atributos_sin_geometria
9251656955184997670,2,hash_atributos_sin_geometria
15236386305358279275,2,hash_atributos_sin_geometria
11550764752511478603,2,hash_atributos_sin_geometria
13332686478631031256,2,hash_atributos_sin_geometria
10525070369756783163,2,hash_atributos_sin_geometria
2492855578295763816,2,hash_atributos_sin_geometria
1881039071240424008,2,hash_atributos_sin_geometria
6381656911931809649,2,hash_atributos_sin_geometria
12136004659718256040,2,hash_atributos_sin_geometria
43840845152664425,2,hash_atributos_sin_geometria
9618679100445733098,2,hash_atributos_sin_geometria
14137504617079629620,2,hash_atributos_sin_geometria
17810972652213501360,2,hash_atributos_sin_geometria
2092321327970613731,2,hash_atributos_sin_geometria
14586338914610204796,2,hash_atributos_sin_geometria
15622400096633391228,2,hash_atributos_sin_geometria
17092079894888227670,2,hash_atributos_sin_geometria
10951600722220518997,2,hash_atributos_sin_geometria
11811066531497744453,2,hash_atributos_sin_geometria
1403586688729630469,2,hash_atributos_sin_geometria
2735672733791236521,2,hash_atributos_sin_geometria
17679302688377064387,2,hash_atributos_sin_geometria
4752628660671677790,2,hash_atributos_sin_geometria
7363276611097542048,2,hash_atributos_sin_geometria
4068266148020431112,2,hash_atributos_sin_geometria
3257626591647527306,2,hash_atributos_sin_geometria
13351486741554395647,2,hash_atributos_sin_geometria
16410093360829645104,2,hash_atributos_sin_geometria
11349787226966690129,2,hash_atributos_sin_geometria
5070434785725566417,2,hash_atributos_sin_geometria
3882478491235204389,2,hash_atributos_sin_geometria
5024296431949314910,2,hash_atributos_sin_geometria
6102231295319676237,2,hash_atributos_sin_geometria
2645619619856591698,2,hash_atributos_sin_geometria
2178301707397452515,2,hash_atributos_sin_geometria
13990287639133658432,2,hash_atributos_sin_geometria
16179557567608405401,2,hash_atributos_sin_geometria
10559229937157066124,2,hash_atributos_sin_geometria
7962939307664020123,2,hash_atributos_sin_geometria
4109802944646633614,2,hash_atributos_sin_geometria
11846605385231139375,2,hash_atributos_sin_geometria
7971633373806797202,2,hash_atributos_sin_geometria
13854344715716405118,2,hash_atributos_sin_geometria
7485902197577749725,2,hash_atributos_sin_geometria
3760972284530793080,2,hash_atributos_sin_geometria
12913307126984175461,2,hash_atributos_sin_geometria
4354404996989181866,2,hash_atributos_sin_geometria
5673709451195698866,2,hash_atributos_sin_geometria
5610068541525446684,2,hash_atributos_sin_geometria
7992910301031373443,2,hash_atributos_sin_geometria
4236209321261249858,2,hash_atributos_sin_geometria
2413251157656270562,2,hash_atributos_sin_geometria
15988391245682987166,2,hash_atributos_sin_geometria
7459823864092827170,2,hash_atributos_sin_geometria
6377172198048465166,2,hash_atributos_sin_geometria
12841633872392502869,2,hash_atributos_sin_geometria
7642156022754817304,2,hash_atributos_sin_geometria
11342165869375456964,2,hash_atributos_sin_geometria
11507461217412930921,2,hash_atributos_sin_geometria
10244729759436682893,2,hash_atributos_sin_geometria
7320901334499564630,2,hash_atributos_sin_geometria
4512342303602018768,2,hash_atributos_sin_geometria
12509389891797001896,2,hash_atributos_sin_geometria
11257985115021277571,2,hash_atributos_sin_geometria
