subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,estado_xy_subset,source_rowid,pais,fuente,anio,nivel_0,nivel_1,nivel_2
ventana_2018_2022,XY_000001097320,-84.35557199999998,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420742,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097320,-84.35557199999998,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420748,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
ventana_2018_2022,XY_000001097321,-84.35557199999998,10.0837955308,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420743,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097321,-84.35557199999998,10.0837955308,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420749,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
ventana_2018_2022,XY_000001097471,-84.3554691913,9.5836769999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,96008,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001097471,-84.3554691913,9.5836769999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,104259,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001098165,-84.3551408086,10.0829464685,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420744,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001098165,-84.3551408086,10.0829464685,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420750,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
ventana_2018_2022,XY_000001098166,-84.3551408086,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420745,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001098166,-84.3551408086,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420751,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
