subset,pais_grupo,valores_nivel1_subset,valores_nivel2_subset,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,21 Cuerpos de Agua","410 Bosque latifoliado y mixto,210 Cuerpos de Agua",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,21 Cuerpos de Agua","414 Bosque seco o deciduo,210 Cuerpos de Agua",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","413 Bosque Mixto (Lat-Coniferas),331 Granos básicos y hortalizas  y otros",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"22 Humedales,21 Cuerpos de Agua","220 Humedales,210 Cuerpos de Agua",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"22 Humedales,33 Cultivos extensivos, Pastizales y matorrales","220 Humedales,332 Pastizales naturales y cultivados",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,333 Matorrales (barbecho o en descanso)",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,32 Cultivos Arbóreos,"322 Cacao,325 Otros sistemas agroforestales o silvopastoriles",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"32 Cultivos Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","323 Frutales,332 Pastizales naturales y cultivados",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"32 Cultivos Arbóreos,41 Bosque latifoliado y mixto","321 Café,410 Bosque latifoliado y mixto",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","331 Granos básicos y hortalizas  y otros,110 Urbano",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros,210 Cuerpos de Agua",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,22 Humedales","332 Pastizales naturales y cultivados,220 Humedales",1,5,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,31 Cultivos intensivos No-Arbóreos","331 Granos básicos y hortalizas  y otros,311 Palma aceitera",1,5,5.0,2018,2022
