field_name,valor,n
Id,2254091,2
Id,2254088,2
Id,2254087,2
Id,2254083,2
Id,2254082,2
Id,2254079,2
Id,2254078,2
Id,2132475,2
Id,2132474,2
Id,2132473,2
Id,2132472,2
Id,2132471,2
Id,2132470,2
Id,2132469,2
Id,2132468,2
Id,2132467,2
Id,2132466,2
Id,2132465,2
Id,2132464,2
Id,2132463,2
Id,2132462,2
Id,2132461,2
Id,2132458,2
Id,2132457,2
Id,2132456,2
Id,2132148,2
Id,2132147,2
Id,2132143,2
Id,2132142,2
Id,2132138,2
Id,2132137,2
Id,2132133,2
Id,2132132,2
Id,2132128,2
Id,2132127,2
Id,2132126,2
Id,2129974,2
Id,2129973,2
Id,2129972,2
Id,2129971,2
Id,2129970,2
Id,2129969,2
Id,2129968,2
Id,2129967,2
Id,2129966,2
Id,2129965,2
Id,2129964,2
Id,2129963,2
Id,2129962,2
Id,2129961,2
Id,2129960,2
Id,2129959,2
Id,2129958,2
Id,2129957,2
Id,2129956,2
Id,2129955,2
Id,2129954,2
Id,2129953,2
Id,2129952,2
Id,2129951,2
Id,2129350,2
Id,2129349,2
Id,2129348,2
Id,2129347,2
Id,2129346,2
Id,2129345,2
Id,2129344,2
Id,2129343,2
Id,2129342,2
Id,2129341,2
Id,2129340,2
Id,2129339,2
Id,2129338,2
Id,2129337,2
Id,2129336,2
Id,2129335,2
Id,2129334,2
Id,2129333,2
Id,2129332,2
Id,2129331,2
Id,2129329,2
Id,2129328,2
Id,2129327,2
Id,2129326,2
Id,2120025,2
Id,2120024,2
Id,2120023,2
Id,2120022,2
Id,2120021,2
Id,2120020,2
Id,2120019,2
Id,2120018,2
Id,2120017,2
Id,2120016,2
Id,2120015,2
Id,2120014,2
Id,2120013,2
Id,2120012,2
Id,2120011,2
Id,2120010,2
Id,2120009,2
Id,2120008,2
Id,2120007,2
Id,2120006,2
Id,2120005,2
Id,2120004,2
Id,2120003,2
Id,2120002,2
Id,2120001,2
Id,2103160,2
Id,2103155,2
Id,2103123,2
Id,2103122,2
Id,2103121,2
Id,2103119,2
Id,2103118,2
Id,2103117,2
Id,2103116,2
Id,2103114,2
Id,2103113,2
Id,2103112,2
Id,2103111,2
Id,2103109,2
Id,2103108,2
Id,2103107,2
Id,2103106,2
Id,2103105,2
Id,2103104,2
Id,2103103,2
Id,2103102,2
Id,2103101,2
Id,2095975,2
Id,2095974,2
Id,2095973,2
Id,2095972,2
Id,2095971,2
Id,2095970,2
Id,2095969,2
Id,2095968,2
Id,2095967,2
Id,2095966,2
Id,2095965,2
Id,2095964,2
Id,2095963,2
Id,2095962,2
Id,2095960,2
Id,2095959,2
Id,2095958,2
Id,2095955,2
Id,2095954,2
Id,2095953,2
Id,2092799,2
Id,2092798,2
Id,2092797,2
Id,2092796,2
Id,2092791,2
Id,2092790,2
Id,2092789,2
Id,2092788,2
Id,2092787,2
Id,2092786,2
Id,2092785,2
Id,2092784,2
Id,2092783,2
Id,2092782,2
Id,2092781,2
Id,2092780,2
Id,2092779,2
Id,2092778,2
Id,2092777,2
Id,2092776,2
Id,2086100,2
Id,2086099,2
Id,2086098,2
Id,2086097,2
Id,2086096,2
Id,2086095,2
Id,2086094,2
Id,2086093,2
Id,2086092,2
Id,2086091,2
Id,2086090,2
Id,2086089,2
Id,2086088,2
Id,2086087,2
Id,2086086,2
Id,2086085,2
Id,2086084,2
Id,2086083,2
Id,2086082,2
Id,2086081,2
Id,2086078,2
Id,2086077,2
Id,2086076,2
Id,2073200,2
Id,2073195,2
Id,2073194,2
Id,2073193,2
Id,2073192,2
Id,2073191,2
Id,2073190,2
Id,2073189,2
Id,2073188,2
Id,2073187,2
Id,2073186,2
Id,2073185,2
Id,2073184,2
Id,2073183,2
Id,2073182,2
Id,2073181,2
Id,2073179,2
Id,2073178,2
Id,2073177,2
Id,1783528,2
Id,1782929,2
Id,1782103,2
Id,1781182,2
Id,1781025,2
Id,1781024,2
Id,1748159,2
Id,1747121,2
Id,1747031,2
Id,1746927,2
Id,1746817,2
Id,1746707,2
Id,1739258,2
Id,1723610,2
Id,1713262,2
Id,1713004,2
Id,1711810,2
Id,1710665,2
Id,1710203,2
Id,1709457,2
Id,1709456,2
Id,1709312,2
Id,1708305,2
Id,1707391,2
Id,1707259,2
Id,1707120,2
Id,1706983,2
Id,1703857,2
Id,1703718,2
Id,1703578,2
Id,1703438,2
Id,1703437,2
Id,1703436,2
Id,1703435,2
Id,1703434,2
Id,1703433,2
Id,1689767,2
Id,1684782,2
Id,1684084,2
Id,1678390,2
Id,1678003,2
Id,1678002,2
Id,1676493,2
Id,1676492,2
Id,1676124,2
Id,1674628,2
Id,1674267,2
Id,1667504,2
Id,1667503,2
Id,1667112,2
Id,1589923,2
Id,1589551,2
Id,1558342,2
Id,1558333,2
Id,1558330,2
Id,1558329,2
Id,1558325,2
Id,1533907,2
Id,1511963,2
Id,1511496,2
Id,1497613,2
Id,1497350,2
Id,1491475,2
Id,1485580,2
Id,1484536,2
Id,1483206,2
Id,1482686,2
Id,1482564,2
Id,1481478,2
Id,1458517,2
Id,1458308,2
Id,1457083,2
Id,1457082,2
Id,1457081,2
Id,1454779,2
Id,1454349,2
Id,1429797,2
Id,1418062,2
Id,1418027,2
Id,1418026,2
Id,1418025,2
Id,1404461,2
Id,1404458,2
