xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021__XYY__00bdfeab8029,SRC10_CRI_2021__XY__66d087649cac,-85.460359,10.438692,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00c079204e1e,SRC10_CRI_2021__XY__c4183c75a3d8,-85.515508,10.491524,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00c09f1e0ec8,SRC10_CRI_2021__XY__fe80ee7f17fd,-85.24165,10.122254,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00c2373c0680,SRC10_CRI_2021__XY__b989364bc7c1,-85.799359,10.305729,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00c5b6ce32b1,SRC10_CRI_2021__XY__004f64f3327d,-85.61599,10.322117,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00c793f2f8b3,SRC10_CRI_2021__XY__3305d22740e1,-85.528415,10.539724,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00cf798eb40e,SRC10_CRI_2021__XY__2f33fd67063a,-85.667833,10.385766,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00d099252fba,SRC10_CRI_2021__XY__b8d07cf1f597,-85.254622,10.394175,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00d4089747d8,SRC10_CRI_2021__XY__840cff4a8b89,-85.235623,10.200713,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00d6dd56385f,SRC10_CRI_2021__XY__608db006b57b,-85.225143,10.218853,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00dd79db59c4,SRC10_CRI_2021__XY__f07a5c33f800,-85.675377,10.382424,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00de191eff1a,SRC10_CRI_2021__XY__09771eab0779,-85.447725,10.445989,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00e8af849848,SRC10_CRI_2021__XY__b36b4db79b1a,-85.435235,10.484657,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00f0e7f003b1,SRC10_CRI_2021__XY__a4e4ca895e78,-85.378954,10.168766,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00f2cd46111b,SRC10_CRI_2021__XY__2da22e2974ac,-85.293762,10.51385,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00f38b9a5cf0,SRC10_CRI_2021__XY__12404717a6d3,-85.443647,10.477379,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00f3d3d8ff80,SRC10_CRI_2021__XY__ee8b302b2e27,-85.252316,10.561099,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00ffc7e90120,SRC10_CRI_2021__XY__2dd7dd83e43b,-85.390864,10.478821,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0100f3e8eb1a,SRC10_CRI_2021__XY__2f484f88d946,-85.666637,10.321859,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0105c1f4bddd,SRC10_CRI_2021__XY__2c4c2c8a339a,-85.349789,10.543865,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0105d836c784,SRC10_CRI_2021__XY__b1b371422032,-85.438596,10.296411,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01060870a7c9,SRC10_CRI_2021__XY__966fb752a569,-85.230293,10.457762,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__010e43f7d83a,SRC10_CRI_2021__XY__4f44e9500a61,-85.623314,10.513915,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01116599d204,SRC10_CRI_2021__XY__5365f6050871,-85.194015,10.357742,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0118610374eb,SRC10_CRI_2021__XY__9b756ca781d8,-85.459075,10.14723,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__011b49b8b658,SRC10_CRI_2021__XY__8913e33d218f,-85.616189,10.481119,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0123d632e5ba,SRC10_CRI_2021__XY__bebcdd219a30,-85.690252,10.551168,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01281ed87296,SRC10_CRI_2021__XY__38c3981bdac7,-85.413456,10.337547,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__012c9825bb6c,SRC10_CRI_2021__XY__7e27cfc09d32,-85.740621,10.42063,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__012fe9e39753,SRC10_CRI_2021__XY__03008629ae70,-85.644129,10.510066,2021,1,1,1,1,Costa Rica,CRI,0
