xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC10_CRI_2021_A1__XY__f5639b3b572f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,2.75,0.6946434430827576,0.7496784779139,0.7103060644989657,0.7626698854678968,0.4712646348946097,0.4954996863448061,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5675bd5935a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,2.0,0.8409540128631106,0.8581952783128917,0.8564050705891367,0.8702793956566777,0.5771985306415045,0.5894563927678118,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f570e30fd6f7,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,9.75,0.21317026174908746,0.19713934467359123,0.26021628481052916,0.2502732975596336,0.16888604390591697,0.1737055264257544,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f57697819e1a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,2.9166666666666665,1.75,0.6463832110763753,0.6839374499761876,0.6771461909791006,0.7074721303964555,0.4623016193775289,0.4736602407089944,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f57877ac8e10,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,2.25,0.5210772812163457,0.4894282989577149,0.5585469677819409,0.5376760394190105,0.37694382863022985,0.3416834901291713,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f57eb81ef299,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.0833333333333335,1.0,0.8597908396605245,0.8573225516621743,0.8692606792506141,0.8647589848407428,0.6366672342821601,0.6407249466950959,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f585d9c9ca2f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,3.0,2.0,0.7360207535003146,0.7948633226435395,0.7675489198699675,0.8169171569501892,0.5523553575799675,0.5864470735776521,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5889efa3463,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,3.6666666666666665,4.75,0.46371857779123155,0.5032125977835724,0.5018374740344519,0.5470674279646048,0.3519837057403877,0.3666044630670003,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f588eb134a76,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,3.0,0.7266913948967177,0.7101022006384783,0.7423460793466371,0.7255444642305271,0.5303849876103105,0.516088675141315,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f58afbc7cd5c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,3.0,7.5,0.31544133674324,0.32061307302398667,0.36591632808334523,0.3902654655248284,0.26584551978059107,0.27214347067006445,sin_alerta,100.0
