xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021_A1__XYY__00dbe7fe54a9,SRC10_CRI_2021_A1__XY__d4e25370b047,-85.503539,10.11813,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00e006c91806,SRC10_CRI_2021_A1__XY__82765b4e40e7,-85.465955,10.23313,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00e041be2d4f,SRC10_CRI_2021_A1__XY__3fbfb60f15c2,-85.395642,10.091035,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00e53dbc8bbf,SRC10_CRI_2021_A1__XY__e9a7200ea23d,-85.563701,10.475478,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00ead340f5f7,SRC10_CRI_2021_A1__XY__0e979444e987,-85.322997,10.409124,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00facb555ac0,SRC10_CRI_2021_A1__XY__1f24f2aa8c6d,-85.257564,10.413008,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0104ea3cda20,SRC10_CRI_2021_A1__XY__e3e682e748b1,-85.407172,10.348434,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0109b02ed0c1,SRC10_CRI_2021_A1__XY__53e35543a0cf,-85.592686,10.304135,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__010b113148d4,SRC10_CRI_2021_A1__XY__dd3482df9ed9,-85.717637,10.386741,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0119961f98f3,SRC10_CRI_2021_A1__XY__0fe8b91f7c39,-85.649121,10.269569,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0119e8154c50,SRC10_CRI_2021_A1__XY__d990532e6a4c,-85.563621,10.4008,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__011ae7ef921b,SRC10_CRI_2021_A1__XY__37c30bbda30d,-85.20987,10.084963,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__011b1171d3cc,SRC10_CRI_2021_A1__XY__88a8ec5c4a36,-85.492137,10.46147,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__011f7957df7a,SRC10_CRI_2021_A1__XY__c455668fd45b,-85.451659,10.11232,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01219739ae6d,SRC10_CRI_2021_A1__XY__3922e1496898,-85.584986,10.261891,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01270859c574,SRC10_CRI_2021_A1__XY__3d4b68ee956f,-85.462784,10.360306,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01319bc7261e,SRC10_CRI_2021_A1__XY__0c21fd5b5d56,-85.738932,10.336902,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0131caf08803,SRC10_CRI_2021_A1__XY__b96a5ff8f817,-85.559567,10.434603,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01375f81a370,SRC10_CRI_2021_A1__XY__ec47c56f06dd,-85.420218,10.43284,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01380f9b4906,SRC10_CRI_2021_A1__XY__76e89100d881,-85.802995,10.306393,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01473c2a5206,SRC10_CRI_2021_A1__XY__a48907686683,-85.222992,10.208001,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__014bc9cb9712,SRC10_CRI_2021_A1__XY__29f929bc2d80,-85.445191,10.141501,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0151412fe97a,SRC10_CRI_2021_A1__XY__9cdcb63fd362,-85.286786,10.330837,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__01552ec7f7b9,SRC10_CRI_2021_A1__XY__0e4aff830505,-85.350105,10.330579,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0156ea084ca6,SRC10_CRI_2021_A1__XY__2c21912c351c,-85.513368,10.485501,2021,1,1,1,1,Costa Rica,CRI,0
