xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC15_PAN_2021__XYY__020ccc2ec82f,SRC15_PAN_2021__XY__519ccfae35d5,-82.421527,8.459032,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__020dc8155c1b,SRC15_PAN_2021__XY__e59985a4d205,-82.106425,8.640924,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02118556c2db,SRC15_PAN_2021__XY__f4deb32509a8,-82.066691,8.236324,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02151fa47f7f,SRC15_PAN_2021__XY__36ef9c7c5b9f,-82.302663,8.219802,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__021dfe4363a5,SRC15_PAN_2021__XY__65e32d1bf45f,-82.405806,8.506563,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02254e12ce2a,SRC15_PAN_2021__XY__e2d88ac62ee7,-82.096718,8.423902,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__022d1cb953ba,SRC15_PAN_2021__XY__2299a26001e6,-82.106254,8.58214,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02320a6bfe5e,SRC15_PAN_2021__XY__f52e5a880a1c,-82.296292,8.35321,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0234a3e6a9b5,SRC15_PAN_2021__XY__cda3f5f901a9,-82.067437,8.509899,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__023600eee8b0,SRC15_PAN_2021__XY__73348005705f,-82.079008,8.586739,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__023751faebae,SRC15_PAN_2021__XY__3226f73a149d,-82.053705,8.4715,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__023eb8fa716b,SRC15_PAN_2021__XY__8a8cd660af02,-82.465323,8.630677,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02445691b298,SRC15_PAN_2021__XY__933146ca7b5e,-82.391559,8.33254,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__025c05832f6b,SRC15_PAN_2021__XY__3987d6f0fbfe,-82.240089,8.525213,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__026502adee87,SRC15_PAN_2021__XY__c9b82b5715ee,-82.442685,8.651108,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__026d478dc917,SRC15_PAN_2021__XY__1cf4c7591ad9,-82.310507,8.529503,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__027075332e72,SRC15_PAN_2021__XY__a8125f7601f2,-81.974566,8.607367,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0273e87983f7,SRC15_PAN_2021__XY__4002ac5defbc,-82.167365,8.509612,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0275f000639c,SRC15_PAN_2021__XY__a3caa1e4cd26,-82.487677,8.537907,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02770b235cc1,SRC15_PAN_2021__XY__a0f2916d4791,-82.010328,8.383436,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0279ecacc5c1,SRC15_PAN_2021__XY__ab98dd926015,-82.346162,8.332697,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__027b6fb8ce24,SRC15_PAN_2021__XY__cba632ac37b5,-81.960169,8.297642,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0282aa1e5b04,SRC15_PAN_2021__XY__9c36e7c9f9d7,-82.42568,8.352765,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__028bf6ded799,SRC15_PAN_2021__XY__425e105ef942,-82.292437,8.558954,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02917e8f4b59,SRC15_PAN_2021__XY__6fa961b492ea,-82.220024,8.64284,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__029751550a5b,SRC15_PAN_2021__XY__b6525c3c4c64,-82.016859,8.274891,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__029937d2d146,SRC15_PAN_2021__XY__1b11c71681cb,-82.4604,8.531228,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0299574f8495,SRC15_PAN_2021__XY__cc9c0fdbfb1b,-82.474374,8.6216,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__029eb87ad8ee,SRC15_PAN_2021__XY__15b2d78cacd1,-82.357699,8.386915,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__029f30296864,SRC15_PAN_2021__XY__7ac36c78f75c,-82.16541,8.613618,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02a7590f8066,SRC15_PAN_2021__XY__1d3ee16d220d,-82.438005,8.614956,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02a8fb83e761,SRC15_PAN_2021__XY__a219909d0c20,-82.257883,8.409854,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02a8fd04d214,SRC15_PAN_2021__XY__4e033656c074,-82.434776,8.357254,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02d1c3efa59d,SRC15_PAN_2021__XY__d1bbe7c4d496,-82.248845,8.423448,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02d2df74360b,SRC15_PAN_2021__XY__72a7302671d3,-82.419406,8.499731,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02d942952556,SRC15_PAN_2021__XY__31d5828bd06e,-82.4243,8.594661,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02da87a39e61,SRC15_PAN_2021__XY__52bad5c1224c,-82.384686,8.314478,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02f048351437,SRC15_PAN_2021__XY__e858a2c19b17,-82.097298,8.627384,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02fd0ab07d65,SRC15_PAN_2021__XY__acca2627809e,-82.105299,8.245264,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__02fffc5ff777,SRC15_PAN_2021__XY__255a5a05f28a,-82.484851,8.393239,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0307e7ab0a15,SRC15_PAN_2021__XY__4142ce5f80d1,-81.953934,8.532805,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__030de9669993,SRC15_PAN_2021__XY__7bdd58cf4e10,-82.203596,8.475589,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__03143c48d988,SRC15_PAN_2021__XY__c052bb4d9370,-82.198935,8.437169,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__03178606b2ac,SRC15_PAN_2021__XY__c4e4909ad04c,-81.974682,8.652586,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__031cd4709df6,SRC15_PAN_2021__XY__55eeb6ddf124,-82.032854,8.315548,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__031fc178deb0,SRC15_PAN_2021__XY__169d5026c7c4,-82.024539,8.604976,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0322beab82a0,SRC15_PAN_2021__XY__72bc2f38d2e9,-82.079085,8.61387,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0323f24dcb02,SRC15_PAN_2021__XY__5e8050091685,-82.152907,8.227042,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__032a0b5234cb,SRC15_PAN_2021__XY__2fb66566bf4c,-82.466946,8.461125,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__033d57831644,SRC15_PAN_2021__XY__a550516b3376,-82.015536,8.636653,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__034021a999a8,SRC15_PAN_2021__XY__3c3d4f7a4c9f,-82.173755,8.369418,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__03468aa425e2,SRC15_PAN_2021__XY__e1c6a4798e08,-81.917345,8.428884,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__03527c8248c2,SRC15_PAN_2021__XY__395d52f02dda,-82.044162,8.299691,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0355c1539f9b,SRC15_PAN_2021__XY__e62c5ee04d5e,-81.885772,8.523922,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__035c2e623e96,SRC15_PAN_2021__XY__18a87fb87152,-82.36709,8.475051,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__035f11aa973a,SRC15_PAN_2021__XY__ed5c695f786b,-82.434793,8.361775,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__036ee27d5b27,SRC15_PAN_2021__XY__d80afd88d7ff,-82.060955,8.629748,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0371165fc2f5,SRC15_PAN_2021__XY__ca2d81db208f,-82.235394,8.477751,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__037c6dd3c8be,SRC15_PAN_2021__XY__d9f929d0d59e,-82.033003,8.372072,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__038b76c6bbd7,SRC15_PAN_2021__XY__a06d4886ab0f,-82.094163,8.322167,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0390d7d3ce10,SRC15_PAN_2021__XY__39da949b58aa,-81.996511,8.306596,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__039320ea705f,SRC15_PAN_2021__XY__fc33b1adcf66,-82.448296,8.330077,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__03938f971528,SRC15_PAN_2021__XY__581208f33282,-82.099014,8.43294,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__039689ed2fdb,SRC15_PAN_2021__XY__348ea3005aa8,-82.197149,8.593173,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0397554f1ccc,SRC15_PAN_2021__XY__49db15045a95,-82.306204,8.599601,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__039c4862dbc3,SRC15_PAN_2021__XY__31cbf599c1a3,-82.16872,8.202126,2021,1,1,1,1,Panamá,PAN,0
